iter	RMSE
0	4.096357873
1	4.022319445
2	3.952753692
3	3.883326474
4	3.816267842
5	3.752149976
6	3.688981674
7	3.628531176
8	3.56726833
9	3.510411891
10	3.457397986
11	3.403722468
12	3.354052151
13	3.304567886
14	3.255297263
15	3.211758895
16	3.165551325
17	3.121910442
18	3.079074478
19	3.039540577
20	3.00241942
21	2.966611557
22	2.931777132
23	2.896448986
24	2.862302216
25	2.830015727
26	2.799402754
27	2.769129078
28	2.741402432
29	2.715784033
30	2.691544378
31	2.6647812
32	2.640544726
33	2.617543549
34	2.596509324
35	2.574068228
36	2.552357396
37	2.532924677
38	2.512708352
39	2.493710522
40	2.475397524
41	2.457452529
42	2.441507208
43	2.426269614
44	2.410887767
45	2.395649317
46	2.381379383
47	2.367045062
48	2.35342975
49	2.339836844
50	2.327564669
51	2.316138106
52	2.304708276
53	2.293365197
54	2.283045748
55	2.272936278
56	2.262358672
57	2.253524201
58	2.245285151
59	2.236073117
60	2.227417076
61	2.218399335
62	2.210548267
63	2.202470162
64	2.194552524
65	2.18747616
66	2.180387447
67	2.174000049
68	2.16743551
69	2.161713927
70	2.156161845
71	2.150440291
72	2.144764651
73	2.139109817
74	2.13359814
75	2.128398605
76	2.123000597
77	2.118211293
78	2.113312406
79	2.108963744
80	2.104578534
81	2.10055715
82	2.096576129
83	2.092273312
84	2.088302595
85	2.084309872
86	2.081255281
87	2.07789116
88	2.074494386
89	2.071471858
90	2.068149405
91	2.064958831
92	2.062311099
93	2.059038309
94	2.056172723
95	2.053481535
96	2.051056642
97	2.048083881
98	2.045682143
99	2.04345604
100	2.040966092
101	2.038772133
102	2.036455256
103	2.034370671
104	2.03232811
105	2.030324312
106	2.028467511
107	2.026925945
108	2.025311478
109	2.023505456
110	2.021659037
111	2.020007343
112	2.018363974
113	2.016276392
114	2.014463191
115	2.013030695
116	2.01164458
117	2.009959269
118	2.008545666
119	2.007224201
120	2.005796817
121	2.004491375
122	2.003254611
123	2.002130393
124	2.000991057
125	1.99960838
126	1.998494192
127	1.997371397
128	1.996258085
129	1.995065135
130	1.994254924
131	1.993222084
132	1.992330334
133	1.990994335
134	1.990030616
135	1.989262018
136	1.988456343
137	1.987258013
138	1.986459615
139	1.985553253
140	1.984774585
141	1.984024515
142	1.983190853
143	1.982391517
144	1.981708439
145	1.980918459
146	1.980229028
147	1.979342356
148	1.978632231
149	1.977949482
150	1.977320836
151	1.976623292
152	1.975972084
153	1.974960505
154	1.974251636
155	1.973582017
156	1.973056774
157	1.972274988
158	1.971646761
159	1.970884344
160	1.970448266
161	1.96985255
162	1.96909022
163	1.968627882
164	1.968074188
165	1.967600606
166	1.967098183
167	1.966601749
168	1.966031674
169	1.965593394
170	1.964963585
171	1.964581247
172	1.964146474
173	1.963703633
174	1.963218136
175	1.962805376
176	1.962239572
177	1.961741453
178	1.961178692
179	1.960703519
180	1.960481274
181	1.959902529
182	1.959609233
183	1.959062206
184	1.958636923
185	1.958012503
186	1.957654218
187	1.957217769
188	1.95708548
189	1.956726017
190	1.956361268
191	1.956093261
192	1.955838796
193	1.955229458
194	1.954886478
195	1.954454771
196	1.954088327
197	1.953662471
198	1.95328915
199	1.952953774
200	1.952444925
201	1.952094343
202	1.951657404
203	1.951232519
204	1.95081161
205	1.950632686
206	1.950152454
207	1.949702383
208	1.94932716
209	1.94902973
210	1.948614488
211	1.948552352
212	1.948190933
213	1.947937581
214	1.947848224
215	1.947596705
216	1.946922958
217	1.946496092
218	1.946214598
219	1.945761351
220	1.94542794
221	1.945074605
222	1.944906411
223	1.944404358
224	1.944117804
225	1.943747117
226	1.943370736
227	1.942798088
228	1.942235574
229	1.941893149
